Boliger i alt;Eneboliger;Småhus;Blokkleiligheter;
1992;18,8;23,1;17,9;13,1
1993;19,0;23,3;17,9;13,4
1994;21,5;25,7;20,7;15,8
1995;23,1;27,9;22,2;16,5
1996;25,1;30,0;24,2;18,8
1997;28,1;32,7;27,2;22,1
1998;31,3;35,1;30,6;25,7
1999;34,7;37,8;34,1;30,1
2000;40,3;42,3;39,5;36,3
2001;43,0;45,3;41,9;39,1
2002;45,2;46,6;44,2;42,3
2003;45,9;47,4;45,0;43,2
2004;50,6;52,0;49,6;48,2
2005;54,8;55,9;54,4;52,5
2006;62,3;62,9;62,2;61,0
2007;70,1;71,2;70,5;67,2
2008;69,4;71,8;69,3;63,6
2009;70,7;72,7;70,3;66,3
2010;76,5;78,6;77,0;71,2
2011;82,6;84,2;83,2;78,4
2012;88,2;89,1;88,7;85,4
2013;91,8;92,7;92,5;89,0
2014;94,3;95,4;94,3;91,6
2015;100,0;100,0;100,0;100,0
2016;107,0;105,4;107,3;110,8
2017;112,4;110,1;112,8;117,1
2018;114,0;112,1;114,5;117,8
2019;116,8;114,8;116,9;121,4
2020;121,4;118,7;121,8;127,4
